institution,course,type,salary6monthsafter,mediantariff
10000291,Finance  and  Business  Analytics,BSc,21000,86
10000291,Finance  and  Business  Analytics,BSc,21000,86
10000291,Fine  Art,BA,18000,112
10000291,Forensic  Science,BSc,18000,85
10000291,Forensic  Science,BSc,18000,61.125
10000291,Forensic  Science,BSc,18000,118
10000291,Graphic  Design,BA,18000,80
10000291,Health  and  Social  Care,BSc,22000,118.42857
10000291,Health  and  Social  Care,BSc,22000,118.42857
10000291,Healthcare  Science  (Physiological  Sciences),BSc,22000,101
10000291,Hearing  Aid  Audiology,FdSc,22000,0
10000291,History,BA,18000,90
10000291,History  and  English  Literature,BA,18000,87.5
10000291,Illustration,BA,18000,118
10000291,Illustration  and  Animation,BA,18000,96
10000291,Interior  Design,BA,18000,96
10000291,International  Business  Management,BSc,21000,64
10000291,International  Business  Management,BSc,21000,82.368423
10000291,International  Business  Management,BSc,29000,0
10000291,International  Business  Management,BSc,21000,82.368423
10000291,International  Business  Management,BSc,21000,82.368423
10000291,International  Business  Management  (Accelerated),BSc,21000,71.5
10000291,Law,LLB,19000,93.5
10000291,Law  and  Accounting,BSc,21000,82.368423
10000291,Leadership  and  Management  in  Health  and  Social  Care,FdSc,23000,0
10000291,Management,FdA,32000,0
10000291,Management,BA,29000,0
10000291,Marine  Biology  with  Biodiversity  and  Conservation,BSc,19000,70.428574
10000291,Marine  Biology  with  Biodiversity  and  Conservation,BSc,19000,91.25
10000291,Marine  Biology  with  Biodiversity  and  Conservation,BSc,19000,64
10000291,Marketing,BA,20000,89
10000291,Marketing,BA,20000,90
10000291,Mechanical  Engineering,BEng,26000,71.5
10000291,Mechanical  Engineering,BEng,26000,71.5
10000291,Mechanical  Engineering,MEng,26000,71.5
10000291,Mechanical  Engineering,BEng,34000,0
10000291,Media  Studies,BA,18000,80
10000291,Media  Studies,BA,18000,75.25
10000291,Medical  Engineering,BEng,26000,80
10000291,Medical  Engineering,BEng,26000,80
10000291,Medical  Science,BSc,22000,74
10000291,Medical  Science,BSc,22000,74
10000291,Midwifery,BSc,22000,162.5
10000291,Multimedia  Journalism,BA,18000,99.75
10000291,Music,BA,17000,92.5
10000291,Nursing  (Adult),BSc,22000,108
10000291,Nursing  (Child),BSc,22000,124
10000291,Nursing  (Mental  Health),BSc,22000,112
10000291,Operating  Department  Practice,BSc,22000,118.42857
10000291,Ophthalmic  Dispensing,FdSc,20000,0
10000291,Ophthalmic  Dispensing,BSc,15000,80
10000291,Ophthalmic  Dispensing,BSc,15000,60.272728
10000291,Optometry,BOptom,15000,96
10000291,Osteopathy,BOst,22000,101.625
10000291,Paramedic  Science,BSc,22000,116.28571
10000291,Performing  Arts,BA,18000,103.94118
10000291,Performing  Arts,BA,18000,106
